Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,13.47,4.46,1.92,2.63,1.36,0.85,0.01,NA,1.81,3.25,7.18,9.74
1971,6.49,4.34,6.93,4.05,1.89,2.47,0.01,1.49,3.98,3.09,6.27,8.18
1972,7.98,4.68,4.96,3.79,2.40,0.69,0.12,0.14,2.07,0.70,3.77,8.70
1973,5.64,1.62,3.50,1.69,1.11,1.48,NA,0.80,2.80,2.79,15.23,11.08
1974,10.89,5.56,7.95,1.48,0.90,0.41,1.80,0.11,0.28,2.15,7.42,6.94
1975,4.96,4.68,4.22,2.20,1.66,0.81,0.51,1.96,0.00,5.51,6.06,6.07
1976,5.47,6.92,3.66,2.00,1.33,1.04,0.67,1.89,1.13,1.51,1.13,1.26
1977,0.88,2.83,3.33,0.62,3.76,0.73,0.26,1.70,2.36,2.37,6.19,8.73
1978,5.67,3.54,1.23,3.50,2.97,0.48,1.07,2.56,2.64,0.37,4.50,2.64
1979,2.84,7.19,2.17,2.82,2.20,0.65,0.30,0.70,2.19,6.06,3.83,6.95
1980,6.58,4.04,3.48,3.58,1.53,1.99,0.22,0.04,1.05,1.45,5.24,10.44
1981,2.09,3.29,3.45,2.06,2.19,3.33,0.15,NA,2.78,4.63,7.54,9.73
1982,6.11,6.02,2.81,3.80,0.73,1.36,0.33,0.41,1.83,3.04,4.92,9.26
1983,6.00,10.57,8.56,2.72,2.12,2.48,2.63,2.09,0.32,1.31,10.06,6.49
1984,2.34,5.50,4.40,3.74,3.32,4.19,0.03,NA,1.19,4.31,12.70,3.71
1985,0.24,3.44,3.80,0.93,0.65,2.42,0.32,0.20,1.25,3.17,4.81,2.51
1986,6.25,8.26,2.89,1.30,2.22,0.42,1.23,NA,3.12,2.71,7.24,3.86
1987,7.67,3.52,3.98,2.36,1.52,0.26,2.51,0.15,0.14,0.47,3.00,10.92
1988,6.78,0.75,3.34,3.56,2.39,1.97,0.03,0.00,0.98,0.12,9.50,3.23
1989,3.57,2.79,6.47,1.06,1.08,1.03,0.77,0.48,1.03,2.50,3.09,3.95
1990,8.51,5.31,2.39,1.67,1.94,1.09,0.47,0.85,0.42,5.63,4.91,2.82
1991,2.42,3.72,5.18,3.84,4.51,1.55,0.11,0.67,0.04,1.70,5.94,3.73
1992,4.76,4.46,0.89,4.35,0.05,1.12,0.50,0.38,0.70,3.52,4.84,7.83
1993,4.77,1.61,5.12,5.64,3.59,3.17,1.05,0.40,0.01,1.11,1.26,6.84
1994,4.28,4.21,2.56,2.16,1.61,1.14,NA,0.05,1.64,7.96,7.09,4.91
1995,8.63,4.35,4.44,4.41,1.29,1.48,0.36,1.29,1.81,4.07,9.07,7.28
1996,8.26,13.01,3.08,5.72,3.21,0.74,0.90,0.20,1.94,4.78,10.11,15.01
1997,9.07,2.08,7.32,3.41,2.71,1.86,0.36,1.13,3.81,6.45,4.40,3.16
1998,9.06,6.18,4.96,1.63,5.56,0.98,0.10,0.04,0.68,2.52,11.70,8.66
1999,9.61,11.40,5.06,1.35,1.90,1.43,0.15,0.68,0.09,2.44,7.26,5.38
2000,7.05,6.92,2.98,1.29,1.56,0.71,0.09,0.03,0.75,2.40,2.53,3.62
2001,1.81,1.22,2.82,2.49,1.45,1.89,0.24,0.78,0.57,3.35,9.02,8.03
2002,8.93,3.54,4.47,1.77,1.35,1.22,0.07,0.02,0.98,0.47,3.84,11.20
2003,7.38,2.78,4.79,5.54,1.74,0.62,NA,0.03,0.94,2.47,4.99,10.42
2004,6.65,5.10,1.43,2.13,2.06,1.78,0.09,1.04,2.08,3.30,2.14,3.89
2005,1.43,0.49,4.15,2.82,4.65,1.90,0.21,0.05,2.33,2.70,6.04,11.52
2006,13.37,2.12,4.17,2.46,2.88,0.65,0.07,NA,0.54,0.65,15.15,7.35
2007,3.92,5.33,2.35,2.29,1.27,0.78,0.34,0.72,2.76,4.24,3.75,8.25
2008,8.34,1.89,3.54,1.97,0.43,0.74,NA,1.28,0.41,0.96,3.59,6.02
2009,3.56,2.90,3.03,1.35,3.03,1.39,0.68,0.18,1.20,2.61,8.02,6.14
2010,5.85,4.07,5.20,4.35,3.47,2.64,0.04,0.20,2.07,5.22,6.44,9.95
2011,3.25,4.31,7.16,4.15,3.40,0.98,0.74,0.11,0.35,2.15,5.96,3.32
2012,11.29,4.14,9.98,3.08,2.31,2.20,0.07,NA,0.04,5.94,8.92,7.40
2013,1.63,1.42,2.21,2.39,2.94,1.02,0.00,0.35,7.05,0.63,2.68,1.27
2014,2.26,7.01,7.32,2.71,2.07,0.64,0.46,0.35,1.20,5.80,4.87,6.87
2015,3.21,4.33,4.24,2.10,0.72,0.67,0.01,0.71,1.13,3.67,4.64,15.24
2016,7.82,2.91,6.36,2.05,1.17,1.00,0.45,0.41,1.54,11.25,6.90,5.15
2017,5.40,13.41,7.69,3.70,1.64,0.74,0.00,0.15,2.36,5.45,6.57,3.08
